Search Engine,Total Energy (Joules)
Google,597.8985462188721
Bing,658.5020356178284
DuckDuckGo,456.46784687042236
Brave Search,898.1509056091309
Ecosia,658.6152591705322
OceanHero,637.4669704437256
Qwant,514.7847766876221
Swisscows,385.30850410461426
Mojeek,349.4814929962158
You.com,488.9364318847656
