Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740036113559,3228,3228,3228,3228,3228,3228,3228,3228,50.151065826416016,50.151397705078125,49.56195831298828,50.99159240722656,49.13838195800781,48.873809814453125,50.15187454223633,48.827510833740234,51.48904037475586,49.585350036621094,NaN,NaN,0,50,0,0,0,0,9.141288757324219,17179869184,9663676416,12270927872,8185708544
204,1740036113559,3228,3228,3228,3228,3228,3228,3228,3228,50.151065826416016,50.151397705078125,49.56195831298828,50.99159240722656,49.13838195800781,48.873809814453125,50.15187454223633,48.827510833740234,51.48904037475586,49.585350036621094,100,100,NaN,NaN,0,0,0,0,9.141288757324219,17179869184,9663676416,12270927872,8185708544
204,1740036113764,3228,3228,3228,3228,3228,3228,3228,3228,51.360809326171875,50.65186309814453,53.390525817871094,53.78633117675781,49.93126678466797,50.2607421875,50.84477996826172,49.773006439208984,51.57362365722656,50.15418243408203,100,85.71428680419922,80,85,80.95238494873047,80,76.19047546386719,75,9.141288757324219,17179869184,9663676416,12270927872,8185708544
204,1740036113969,3228,3228,3228,3228,3228,3228,3228,3228,51.360809326171875,50.65186309814453,53.390525817871094,53.78633117675781,49.93126678466797,50.2607421875,50.84477996826172,49.773006439208984,51.57362365722656,50.15418243408203,95,100,90,90,90,78.94737243652344,95,60.000003814697266,9.141288757324219,17179869184,9663676416,12270927872,8185708544
204,1740036114174,3228,3228,3228,3228,3228,3228,3228,3228,51.360809326171875,50.65186309814453,53.390525817871094,53.78633117675781,49.93126678466797,50.2607421875,50.84477996826172,49.773006439208984,51.57362365722656,50.15418243408203,100,100,47.619049072265625,75,50,31.81818199157715,14.285715103149414,4.761904716491699,10.95888614654541,17179869184,9663676416,12414124032,8185708544
204,1740036114378,3228,3228,3228,3228,3228,3228,3228,3228,51.360809326171875,50.65186309814453,53.390525817871094,53.78633117675781,49.93126678466797,50.2607421875,50.84477996826172,49.773006439208984,51.57362365722656,50.15418243408203,71.42857360839844,80.95238494873047,20,38.095237731933594,14.285715103149414,0,0,0,10.95888614654541,17179869184,9663676416,12419104768,8185708544
200,1740036114583,3228,3228,3228,3228,3228,3228,3228,3228,51.360809326171875,50.65186309814453,53.390525817871094,53.78633117675781,49.93126678466797,50.2607421875,50.84477996826172,49.773006439208984,51.57362365722656,50.15418243408203,70,72.7272720336914,9.523809432983398,0,0,0,0,0,10.95888614654541,17179869184,9663676416,12410748928,8185708544
202,1740036114784,3228,3228,3228,3228,3228,3228,3228,3228,53.68788146972656,53.12066650390625,57.036521911621094,59.10082244873047,52.57005310058594,54.11012649536133,54.22671890258789,53.722137451171875,54.407711029052734,52.93290710449219,65,68.42105102539063,10,10,0,4.761904716491699,0,0,10.95888614654541,17179869184,9663676416,12415303680,8185708544
204,1740036114986,3228,3228,3228,3228,3228,3228,3228,3228,53.68788146972656,53.12066650390625,57.036521911621094,59.10082244873047,52.57005310058594,54.11012649536133,54.22671890258789,53.722137451171875,54.407711029052734,52.93290710449219,75,65,10.526315689086914,15.000000953674316,0,0,0,0,10.95888614654541,17179869184,9663676416,12144705536,8185708544
204,1740036115192,3228,3228,3228,3228,3228,3228,3228,3228,53.68788146972656,53.12066650390625,57.036521911621094,59.10082244873047,52.57005310058594,54.11012649536133,54.22671890258789,53.722137451171875,54.407711029052734,52.93290710449219,66.66667175292969,75,4.761904716491699,0,4.761904716491699,0,0,0,15.766128540039063,17179869184,9663676416,12145573888,8185708544
204,1740036115397,3228,3228,3228,3228,3228,3228,3228,3228,53.68788146972656,53.12066650390625,57.036521911621094,59.10082244873047,52.57005310058594,54.11012649536133,54.22671890258789,53.722137451171875,54.407711029052734,52.93290710449219,60.000003814697266,75,14.285715103149414,10,4.761904716491699,0,4.761904716491699,0,15.766128540039063,17179869184,9663676416,12171116544,8185708544
204,1740036115602,3228,3228,3228,3228,3228,3228,3228,3228,50.685035705566406,50.36412811279297,50.520843505859375,51.6578254699707,49.373077392578125,49.462989807128906,50.329078674316406,49.16386795043945,51.82118606567383,50.07366943359375,66.66667175292969,66.66667175292969,0,4.545454502105713,0,0,0,0,15.766128540039063,17179869184,9663676416,12171116544,8185708544
