Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740034317606,3228,3228,3228,3228,3228,3228,3228,3228,52.6054801940918,52.721500396728516,54.322044372558594,54.02250289916992,52.03856658935547,51.20978546142578,52.1779670715332,50.712039947509766,53.66900634765625,51.86907196044922,0,0,NaN,0,0,0,0,0,13.322458267211914,17179869184,9663676416,11867209728,8219262976
204,1740034317606,3228,3228,3228,3228,3228,3228,3228,3228,52.6054801940918,52.721500396728516,54.322044372558594,54.02250289916992,52.03856658935547,51.20978546142578,52.1779670715332,50.712039947509766,53.66900634765625,51.86907196044922,50,0,50,NaN,0,0,0,0,13.322458267211914,17179869184,9663676416,11867291648,8219262976
201,1740034317811,3228,3228,3228,3228,3228,3228,3228,3228,52.6054801940918,52.721500396728516,54.322044372558594,54.02250289916992,52.03856658935547,51.20978546142578,52.1779670715332,50.712039947509766,53.66900634765625,51.86907196044922,26.3157901763916,35,15.000000953674316,57.142860412597656,5,0,4.545454502105713,0,13.322458267211914,17179869184,9663676416,11869667328,8219262976
204,1740034318013,3228,3228,3228,3228,3228,3228,3228,3228,52.6054801940918,52.721500396728516,54.322044372558594,54.02250289916992,52.03856658935547,51.20978546142578,52.1779670715332,50.712039947509766,53.66900634765625,51.86907196044922,25,28.571430206298828,10,60.000003814697266,0,0,0,0,9.90735149383545,17179869184,9663676416,11896324096,8219262976
204,1740034318218,3228,3228,3228,3228,3228,3228,3228,3228,52.6054801940918,52.721500396728516,54.322044372558594,54.02250289916992,52.03856658935547,51.20978546142578,52.1779670715332,50.712039947509766,53.66900634765625,51.86907196044922,14.285715103149414,10,21.052631378173828,20,0,0,0,0,9.90735149383545,17179869184,9663676416,11933368320,8219262976
204,1740034318423,3228,3228,3228,3228,3228,3228,3228,3228,52.6054801940918,52.721500396728516,54.322044372558594,54.02250289916992,52.03856658935547,51.20978546142578,52.1779670715332,50.712039947509766,53.66900634765625,51.86907196044922,38.095237731933594,40,45.45454788208008,25,9.090909004211426,9.523809432983398,0,0,9.90735149383545,17179869184,9663676416,11971493888,8219262976
204,1740034318628,3228,3228,3228,3228,3228,3228,3228,3228,53.5190315246582,53.1102180480957,57.299530029296875,57.96101760864258,52.63812255859375,51.93605041503906,53.19017028808594,51.944644927978516,53.97219467163086,52.44703674316406,30.000001907348633,28.571430206298828,35,40.90909194946289,15.789472579956055,15.000000953674316,10,5.263157844543457,9.90735149383545,17179869184,9663676416,12030148608,8219262976
201,1740034318833,3228,3228,3228,3228,3228,3228,3228,3228,53.5190315246582,53.1102180480957,57.299530029296875,57.96101760864258,52.63812255859375,51.93605041503906,53.19017028808594,51.944644927978516,53.97219467163086,52.44703674316406,85,85,80,73.68421173095703,66.66667175292969,76.19047546386719,57.142860412597656,52.38095474243164,9.90735149383545,17179869184,9663676416,12126978048,8219262976
202,1740034319035,3228,3228,3228,3228,3228,3228,3228,3228,53.5190315246582,53.1102180480957,57.299530029296875,57.96101760864258,52.63812255859375,51.93605041503906,53.19017028808594,51.944644927978516,53.97219467163086,52.44703674316406,100,100,57.894737243652344,55,40,36.842105865478516,36.842105865478516,25,12.415508270263672,17179869184,9663676416,12216369152,8219262976
202,1740034319238,3228,3228,3228,3228,3228,3228,3228,3228,53.5190315246582,53.1102180480957,57.299530029296875,57.96101760864258,52.63812255859375,51.93605041503906,53.19017028808594,51.944644927978516,53.97219467163086,52.44703674316406,85.71428680419922,85,57.142860412597656,45,40,33.333335876464844,30.000001907348633,19.047618865966797,12.415508270263672,17179869184,9663676416,12305367040,8219262976
204,1740034319440,3228,3228,3228,3228,3228,3228,3228,3228,53.5190315246582,53.1102180480957,57.299530029296875,57.96101760864258,52.63812255859375,51.93605041503906,53.19017028808594,51.944644927978516,53.97219467163086,52.44703674316406,85,78.94737243652344,40,45,20,31.57894515991211,9.523809432983398,5,12.415508270263672,17179869184,9663676416,12302008320,8219262976
204,1740034319645,3228,3228,3228,3228,3228,3228,3228,3228,56.204532623291016,56.967041015625,60.84613800048828,61.633644104003906,55.904090881347656,57.008094787597656,58.889434814453125,57.81050109863281,58.06684494018555,55.899078369140625,70,47.619049072265625,25,20,9.523809432983398,9.090909004211426,4.761904716491699,0,12.415508270263672,17179869184,9663676416,12306038784,8219262976
200,1740034319850,3228,3228,3228,3228,3228,3228,3228,3228,56.204532623291016,56.967041015625,60.84613800048828,61.633644104003906,55.904090881347656,57.008094787597656,58.889434814453125,57.81050109863281,58.06684494018555,55.899078369140625,66.66667175292969,55,23.809524536132813,23.809524536132813,5.263157844543457,0,0,0,12.415508270263672,17179869184,9663676416,12275810304,8219262976
201,1740034320051,3228,3228,3228,3228,3228,3228,3228,3228,56.204532623291016,56.967041015625,60.84613800048828,61.633644104003906,55.904090881347656,57.008094787597656,58.889434814453125,57.81050109863281,58.06684494018555,55.899078369140625,84.21052551269531,75,36.842105865478516,26.3157901763916,15.000000953674316,5,0,0,14.592639923095703,17179869184,9663676416,12275810304,8219262976
204,1740034320253,3228,3228,3228,3228,3228,3228,3228,3228,56.204532623291016,56.967041015625,60.84613800048828,61.633644104003906,55.904090881347656,57.008094787597656,58.889434814453125,57.81050109863281,58.06684494018555,55.899078369140625,75,60.000003814697266,15.000000953674316,19.047618865966797,4.761904716491699,0,0,0,14.592639923095703,17179869184,9663676416,12268716032,8219262976
203,1740034320458,3228,3228,3228,3228,3228,3228,3228,3228,56.204532623291016,56.967041015625,60.84613800048828,61.633644104003906,55.904090881347656,57.008094787597656,58.889434814453125,57.81050109863281,58.06684494018555,55.899078369140625,75,70,45,38.095237731933594,20,19.047618865966797,19.047618865966797,18.18181800842285,14.592639923095703,17179869184,9663676416,12260163584,8219262976
204,1740034320661,3228,3228,3228,3228,3228,3228,3228,3228,53.18803787231445,53.82400894165039,53.59199523925781,54.45054626464844,52.62568664550781,52.46612548828125,53.200279235839844,51.611812591552734,54.633827209472656,52.67090606689453,90.47618865966797,85.71428680419922,23.809524536132813,10.526315689086914,4.761904716491699,0,0,0,14.592639923095703,17179869184,9663676416,12260720640,8219262976
201,1740034320867,3228,3228,3228,3228,3228,3228,3228,3228,53.18803787231445,53.82400894165039,53.59199523925781,54.45054626464844,52.62568664550781,52.46612548828125,53.200279235839844,51.611812591552734,54.633827209472656,52.67090606689453,100,95,10,14.285715103149414,0,0,0,0,14.592639923095703,17179869184,9663676416,12231163904,8219262976
200,1740034321069,3228,3228,3228,3228,3228,3228,3228,3228,53.18803787231445,53.82400894165039,53.59199523925781,54.45054626464844,52.62568664550781,52.46612548828125,53.200279235839844,51.611812591552734,54.633827209472656,52.67090606689453,100,100,10,5,4.761904716491699,0,0,0,24.188596725463867,17179869184,9663676416,12231163904,8219262976
204,1740034321269,3228,3228,3228,3228,3228,3228,3228,3228,53.18803787231445,53.82400894165039,53.59199523925781,54.45054626464844,52.62568664550781,52.46612548828125,53.200279235839844,51.611812591552734,54.633827209472656,52.67090606689453,95.23809814453125,100,40,30.000001907348633,10.526315689086914,20,5,0,24.188596725463867,17179869184,9663676416,12256985088,8219262976
204,1740034321474,3228,3228,3228,3228,3228,3228,3228,3228,53.18803787231445,53.82400894165039,53.59199523925781,54.45054626464844,52.62568664550781,52.46612548828125,53.200279235839844,51.611812591552734,54.633827209472656,52.67090606689453,90,89.47368621826172,20,15.000000953674316,4.761904716491699,4.761904716491699,0,0,24.188596725463867,17179869184,9663676416,12260769792,8219262976
204,1740034321679,3228,3228,3228,3228,3228,3228,3228,3228,52.222801208496094,53.157039642333984,52.65251922607422,53.040828704833984,51.87236022949219,51.65559387207031,52.39778137207031,50.88059616088867,54.090248107910156,51.94231414794922,90,85.71428680419922,50,33.333335876464844,15.000000953674316,28.571430206298828,19.047618865966797,0,24.188596725463867,17179869184,9663676416,12060950528,8219262976
193,1740034321891,3228,3228,3228,3228,3228,3228,3228,3228,52.222801208496094,53.157039642333984,52.65251922607422,53.040828704833984,51.87236022949219,51.65559387207031,52.39778137207031,50.88059616088867,54.090248107910156,51.94231414794922,47.619049072265625,47.619049072265625,61.904762268066406,47.619049072265625,33.333335876464844,30.000001907348633,19.047618865966797,22.72727394104004,24.188596725463867,17179869184,9663676416,12106268672,8219262976
201,1740034322084,3228,3228,3228,3228,3228,3228,3228,3228,52.222801208496094,53.157039642333984,52.65251922607422,53.040828704833984,51.87236022949219,51.65559387207031,52.39778137207031,50.88059616088867,54.090248107910156,51.94231414794922,95,94.73684692382813,95,94.73684692382813,94.73684692382813,95,94.73684692382813,89.47368621826172,12.381735801696777,17179869184,9663676416,12207538176,8219262976
201,1740034322286,3228,3228,3228,3228,3228,3228,3228,3228,52.222801208496094,53.157039642333984,52.65251922607422,53.040828704833984,51.87236022949219,51.65559387207031,52.39778137207031,50.88059616088867,54.090248107910156,51.94231414794922,77.77777862548828,78.94737243652344,80,70,65,65,55,45,12.381735801696777,17179869184,9663676416,12256542720,8219262976
203,1740034322488,3228,3228,3228,3228,3228,3228,3228,3228,52.222801208496094,53.157039642333984,52.65251922607422,53.040828704833984,51.87236022949219,51.65559387207031,52.39778137207031,50.88059616088867,54.090248107910156,51.94231414794922,76.19047546386719,75,60.000003814697266,55,47.619049072265625,35,26.3157901763916,20,12.381735801696777,17179869184,9663676416,12239585280,8219262976
202,1740034322691,3228,3228,3228,3228,3228,3228,3228,3228,56.66852951049805,57.665313720703125,61.30400848388672,62.07123565673828,56.01020050048828,57.75664138793945,59.903812408447266,59.055728912353516,59.303749084472656,56.445350646972656,80,77.2727279663086,75,65,52.6315803527832,70,42.85714340209961,42.85714340209961,12.381735801696777,17179869184,9663676416,12269944832,8219262976
204,1740034322894,3228,3228,3228,3228,3228,3228,3228,3228,56.66852951049805,57.665313720703125,61.30400848388672,62.07123565673828,56.01020050048828,57.75664138793945,59.903812408447266,59.055728912353516,59.303749084472656,56.445350646972656,80,73.68421173095703,50,60.000003814697266,40,40,28.571430206298828,26.3157901763916,12.381735801696777,17179869184,9663676416,12289458176,8219262976
203,1740034323099,3228,3228,3228,3228,3228,3228,3228,3228,56.66852951049805,57.665313720703125,61.30400848388672,62.07123565673828,56.01020050048828,57.75664138793945,59.903812408447266,59.055728912353516,59.303749084472656,56.445350646972656,80,80,55,45,38.095237731933594,57.142860412597656,36.842105865478516,33.333335876464844,11.498663902282715,17179869184,9663676416,12290506752,8219262976
202,1740034323303,3228,3228,3228,3228,3228,3228,3228,3228,56.66852951049805,57.665313720703125,61.30400848388672,62.07123565673828,56.01020050048828,57.75664138793945,59.903812408447266,59.055728912353516,59.303749084472656,56.445350646972656,90,90.47618865966797,70,66.66667175292969,55,60.000003814697266,52.38095474243164,50,11.498663902282715,17179869184,9663676416,12476973056,8219262976
204,1740034323506,3228,3228,3228,3228,3228,3228,3228,3228,56.66852951049805,57.665313720703125,61.30400848388672,62.07123565673828,56.01020050048828,57.75664138793945,59.903812408447266,59.055728912353516,59.303749084472656,56.445350646972656,95,94.73684692382813,65,60.000003814697266,42.85714340209961,78.94737243652344,40,30.000001907348633,11.498663902282715,17179869184,9663676416,12614942720,8219262976
204,1740034323710,3228,3228,3228,3228,3228,3228,3228,3228,57.92644119262695,59.108943939208984,61.982322692871094,62.992610931396484,57.041748046875,58.58937454223633,61.909244537353516,60.59015655517578,60.552520751953125,57.770484924316406,75,71.42857360839844,60.000003814697266,45,35,63.6363639831543,38.095237731933594,31.81818199157715,11.498663902282715,17179869184,9663676416,12558581760,8219262976
204,1740034323915,3228,3228,3228,3228,3228,3228,3228,3228,57.92644119262695,59.108943939208984,61.982322692871094,62.992610931396484,57.041748046875,58.58937454223633,61.909244537353516,60.59015655517578,60.552520751953125,57.770484924316406,80,80,47.619049072265625,26.3157901763916,30.000001907348633,20,10,0,11.498663902282715,17179869184,9663676416,12545048576,8219262976
202,1740034324120,3228,3228,3228,3228,3228,3228,3228,3228,57.92644119262695,59.108943939208984,61.982322692871094,62.992610931396484,57.041748046875,58.58937454223633,61.909244537353516,60.59015655517578,60.552520751953125,57.770484924316406,81.81818389892578,80,50,38.095237731933594,20,20,15.000000953674316,10,26.469581604003906,17179869184,9663676416,12512509952,8219262976
201,1740034324322,3228,3228,3228,3228,3228,3228,3228,3228,57.92644119262695,59.108943939208984,61.982322692871094,62.992610931396484,57.041748046875,58.58937454223633,61.909244537353516,60.59015655517578,60.552520751953125,57.770484924316406,90,95,55,52.38095474243164,35,35,33.333335876464844,20,26.469581604003906,17179869184,9663676416,12462211072,8219262976
200,1740034324523,3228,3228,3228,3228,3228,3228,3228,3228,57.92644119262695,59.108943939208984,61.982322692871094,62.992610931396484,57.041748046875,58.58937454223633,61.909244537353516,60.59015655517578,60.552520751953125,57.770484924316406,100,100,60.000003814697266,52.6315803527832,45,35,20,15.000000953674316,26.469581604003906,17179869184,9663676416,12417728512,8219262976
203,1740034324724,3228,3228,3228,3228,3228,3228,3228,3228,56.89643478393555,57.4360237121582,60.086456298828125,60.30461120605469,56.01319885253906,56.91914749145508,58.7753791809082,57.246585845947266,58.12213134765625,56.117820739746094,95,90,42.105262756347656,30.000001907348633,15.000000953674316,15.000000953674316,0,9.523809432983398,26.469581604003906,17179869184,9663676416,12177342464,8219262976
200,1740034324927,3228,3228,3228,3228,3228,3228,3228,3228,56.89643478393555,57.4360237121582,60.086456298828125,60.30461120605469,56.01319885253906,56.91914749145508,58.7753791809082,57.246585845947266,58.12213134765625,56.117820739746094,80.95238494873047,80,33.333335876464844,30.000001907348633,14.285715103149414,10,9.523809432983398,0,26.469581604003906,17179869184,9663676416,12200427520,8219262976
204,1740034325127,3228,3228,3228,3228,3228,3228,3228,3228,56.89643478393555,57.4360237121582,60.086456298828125,60.30461120605469,56.01319885253906,56.91914749145508,58.7753791809082,57.246585845947266,58.12213134765625,56.117820739746094,90,90.47618865966797,57.894737243652344,55,42.105262756347656,40,26.3157901763916,25,28.92154312133789,17179869184,9663676416,12200427520,8219262976
204,1740034325332,3228,3228,3228,3228,3228,3228,3228,3228,56.89643478393555,57.4360237121582,60.086456298828125,60.30461120605469,56.01319885253906,56.91914749145508,58.7753791809082,57.246585845947266,58.12213134765625,56.117820739746094,75,75,52.38095474243164,45,28.571430206298828,23.809524536132813,14.285715103149414,9.523809432983398,28.92154312133789,17179869184,9663676416,12260016128,8219262976
202,1740034325537,3228,3228,3228,3228,3228,3228,3228,3228,56.89643478393555,57.4360237121582,60.086456298828125,60.30461120605469,56.01319885253906,56.91914749145508,58.7753791809082,57.246585845947266,58.12213134765625,56.117820739746094,84.21052551269531,80,30.000001907348633,20,10,10,5,0,28.92154312133789,17179869184,9663676416,12240601088,8219262976
200,1740034325739,3228,3228,3228,3228,3228,3228,3228,3228,55.97533416748047,56.49215316772461,57.84198760986328,58.415924072265625,54.91071319580078,55.335060119628906,56.16380310058594,55.075355529785156,56.91349411010742,55.28253936767578,75,73.68421173095703,25,25,5.263157844543457,5,4.761904716491699,0,28.92154312133789,17179869184,9663676416,12239699968,8219262976
204,1740034325940,3228,3228,3228,3228,3228,3228,3228,3228,55.97533416748047,56.49215316772461,57.84198760986328,58.415924072265625,54.91071319580078,55.335060119628906,56.16380310058594,55.075355529785156,56.91349411010742,55.28253936767578,90,90,20,23.809524536132813,9.523809432983398,4.761904716491699,0,0,28.92154312133789,17179869184,9663676416,12239699968,8219262976
203,1740034326145,3228,3228,3228,3228,3228,3228,3228,3228,55.97533416748047,56.49215316772461,57.84198760986328,58.415924072265625,54.91071319580078,55.335060119628906,56.16380310058594,55.075355529785156,56.91349411010742,55.28253936767578,80.95238494873047,76.19047546386719,28.571430206298828,23.809524536132813,14.285715103149414,5,5,0,23.905988693237305,17179869184,9663676416,12239699968,8219262976
204,1740034326349,3228,3228,3228,3228,3228,3228,3228,3228,55.97533416748047,56.49215316772461,57.84198760986328,58.415924072265625,54.91071319580078,55.335060119628906,56.16380310058594,55.075355529785156,56.91349411010742,55.28253936767578,95,100,25,21.052631378173828,10.526315689086914,10,0,4.761904716491699,23.905988693237305,17179869184,9663676416,12188434432,8219262976
201,1740034326554,3228,3228,3228,3228,3228,3228,3228,3228,53.83232498168945,56.49215316772461,53.83716583251953,54.14149475097656,52.491371154785156,52.5518913269043,53.35068893432617,51.937355041503906,55.3143424987793,53.438720703125,95,90.47618865966797,40,15.000000953674316,14.285715103149414,4.761904716491699,14.285715103149414,9.523809432983398,23.905988693237305,17179869184,9663676416,11910791168,8219262976
201,1740034326756,3228,3228,3228,3228,3228,3228,3228,3228,53.83232498168945,54.55449676513672,53.83716583251953,54.14149475097656,52.491371154785156,52.5518913269043,53.35068893432617,51.937355041503906,55.3143424987793,53.438720703125,76.19047546386719,80,35,23.809524536132813,9.523809432983398,5.263157844543457,5,0,23.905988693237305,17179869184,9663676416,11917836288,8219262976
204,1740034326958,3228,3228,3228,3228,3228,3228,3228,3228,53.83232498168945,54.55449676513672,53.83716583251953,54.14149475097656,52.491371154785156,52.5518913269043,53.35068893432617,51.937355041503906,55.3143424987793,53.438720703125,90,90,25,15.789472579956055,5.263157844543457,4.761904716491699,0,0,23.905988693237305,17179869184,9663676416,11919310848,8219262976
203,1740034327163,3228,3228,3228,3228,3228,3228,3228,3228,53.83232498168945,54.55449676513672,53.83716583251953,54.14149475097656,52.491371154785156,52.5518913269043,53.35068893432617,51.937355041503906,55.3143424987793,53.438720703125,100,100,50,38.095237731933594,28.571430206298828,19.047618865966797,5,0,19.688146591186523,17179869184,9663676416,11930353664,8219262976
204,1740034327366,3228,3228,3228,3228,3228,3228,3228,3228,53.83232498168945,54.55449676513672,53.83716583251953,54.14149475097656,52.491371154785156,52.5518913269043,53.35068893432617,51.937355041503906,55.3143424987793,53.438720703125,100,100,65,45,30.000001907348633,36.842105865478516,19.047618865966797,10,19.688146591186523,17179869184,9663676416,11979194368,8219262976
203,1740034327571,3228,3228,3228,3228,3228,3228,3228,3228,54.17943572998047,55.30904769897461,55.980125427246094,56.33653259277344,53.241554260253906,53.50167465209961,55.00385665893555,53.490272521972656,55.8117561340332,53.82213592529297,100,100,76.19047546386719,71.42857360839844,60.000003814697266,52.38095474243164,40,23.809524536132813,19.688146591186523,17179869184,9663676416,12276187136,8219262976
201,1740034327775,3228,3228,3228,3228,3228,3228,3228,3228,54.17943572998047,55.30904769897461,55.980125427246094,56.33653259277344,53.241554260253906,53.50167465209961,55.00385665893555,53.490272521972656,55.8117561340332,53.82213592529297,90,90.47618865966797,50,31.57894515991211,14.285715103149414,25,14.285715103149414,9.523809432983398,19.688146591186523,17179869184,9663676416,12027658240,8219262976
204,1740034327977,3228,3228,3228,3228,3228,3228,3228,3228,54.17943572998047,55.30904769897461,55.980125427246094,56.33653259277344,53.241554260253906,53.50167465209961,55.00385665893555,53.490272521972656,55.8117561340332,53.82213592529297,85,85.71428680419922,21.052631378173828,14.285715103149414,5,0,0,0,19.688146591186523,17179869184,9663676416,12027871232,8219262976
202,1740034328182,3228,3228,3228,3228,3228,3228,3228,3228,54.17943572998047,55.30904769897461,55.980125427246094,56.33653259277344,53.241554260253906,53.50167465209961,55.00385665893555,53.490272521972656,55.8117561340332,53.82213592529297,85.71428680419922,85,33.333335876464844,20,14.285715103149414,14.285715103149414,9.523809432983398,0,12.856415748596191,17179869184,9663676416,12023037952,8219262976
200,1740034328385,3228,3228,3228,3228,3228,3228,3228,3228,54.17943572998047,55.30904769897461,55.980125427246094,56.33653259277344,53.241554260253906,53.50167465209961,55.00385665893555,53.490272521972656,55.8117561340332,53.82213592529297,68.42105102539063,63.15789031982422,45,38.095237731933594,15.000000953674316,5,10,4.761904716491699,12.856415748596191,17179869184,9663676416,12027346944,8219262976
202,1740034328586,3228,3228,3228,3228,3228,3228,3228,3228,54.465633392333984,55.043025970458984,55.067649841308594,55.729312896728516,53.35265350341797,53.012107849121094,54.288082122802734,52.70820236206055,55.800865173339844,53.69910430908203,90,90.47618865966797,25,10.526315689086914,5,0,0,0,12.856415748596191,17179869184,9663676416,11989319680,8219262976
204,1740034328790,3228,3228,3228,3228,3228,3228,3228,3228,54.465633392333984,55.043025970458984,55.067649841308594,55.729312896728516,53.35265350341797,53.012107849121094,54.288082122802734,52.70820236206055,55.800865173339844,53.69910430908203,80,80,25,20,15.000000953674316,9.523809432983398,5,0,12.856415748596191,17179869184,9663676416,12100222976,8219262976
204,1740034328995,3228,3228,3228,3228,3228,3228,3228,3228,54.465633392333984,55.043025970458984,55.067649841308594,55.729312896728516,53.35265350341797,53.012107849121094,54.288082122802734,52.70820236206055,55.800865173339844,53.69910430908203,90.47618865966797,90,23.809524536132813,19.047618865966797,9.523809432983398,0,0,0,12.856415748596191,17179869184,9663676416,12099764224,8219262976
204,1740034329200,3228,3228,3228,3228,3228,3228,3228,3228,54.465633392333984,55.043025970458984,55.067649841308594,55.729312896728516,53.35265350341797,53.012107849121094,54.288082122802734,52.70820236206055,55.800865173339844,53.69910430908203,78.94737243652344,80,35,33.333335876464844,15.789472579956055,9.523809432983398,5,0,17.293489456176758,17179869184,9663676416,12093685760,8219262976
