Search Engine,Start Time,End Time,Raw Duration (ms),Baseline Overhead (ms),Normalized Duration (ms),Iteration
Bing,1740647957508,1740647968716,11208,12613,0,11
Brave Search,1740647968836,1740647973949,5113,5167,0,11
You.com,1740647974041,1740647981356,7315,4569,2746,11
Qwant,1740647981465,1740647987496,6031,6590,0,11
Startpage,1740647987595,1740648001076,13481,6317,7164,11
Google,1740648001172,1740648036157,34985,31837,3148,11
Swisscows,1740648036254,1740648043040,6786,4781,2005,11
OceanHero,1740648043127,1740648054273,11146,7250,3896,11
DuckDuckGo,1740648054412,1740648060336,5924,4821,1103,11
Bing,1740648148455,1740648160748,12293,12613,0,12
Swisscows,1740648161165,1740648167077,5912,4781,1131,12
Ecosia,1740648167164,1740648175374,8210,13661,0,12
You.com,1740648175478,1740648182355,6877,4569,2308,12
Mojeek,1740648182444,1740648188117,5673,5413,260,12
Brave Search,1740648188214,1740648194126,5912,5167,745,12
Google,1740648223551,1740648257452,33901,31837,2064,12
OceanHero,1740648257558,1740648269669,12111,7250,4861,12
Qwant,1740648269773,1740648276051,6278,6590,0,12
Startpage,1740648276133,1740648288862,12729,6317,6412,12
DuckDuckGo,1740648288955,1740648295908,6953,4821,2132,12
DuckDuckGo,1740648356020,1740648363198,7178,4821,2357,13
Startpage,1740648363308,1740648376573,13265,6317,6948,13
Bing,1740648376669,1740648388071,11402,12613,0,13
Ecosia,1740648388171,1740648396943,8772,13661,0,13
Swisscows,1740648426730,1740648433561,6831,4781,2050,13
OceanHero,1740648433678,1740648444070,10392,7250,3142,13
Mojeek,1740648444179,1740648450615,6436,5413,1023,13
You.com,1740648450709,1740648457169,6460,4569,1891,13
Brave Search,1740648457277,1740648462972,5695,5167,528,13
Qwant,1740648463354,1740648469878,6524,6590,0,13
Google,1740648469971,1740648504694,34723,31837,2886,13
DuckDuckGo,1740648564809,1740648572812,8003,4821,3182,14
You.com,1740648572927,1740648580791,7864,4569,3295,14
Google,1740648580887,1740648613874,32987,31837,1150,14
Mojeek,1740648613963,1740648619296,5333,5413,0,14
Qwant,1740648619388,1740648625826,6438,6590,0,14
Startpage,1740648625919,1740648640000,14081,6317,7764,14
OceanHero,1740648640087,1740648651475,11388,7250,4138,14
Ecosia,1740648651597,1740648659678,8081,13661,0,14
Brave Search,1740648688590,1740648695131,6541,5167,1374,14
Bing,1740648695260,1740648707422,12162,12613,0,14
Swisscows,1740648707548,1740648714648,7100,4781,2319,14
Bing,1740648774759,1740648785702,10943,12613,0,15
Google,1740648786131,1740648819506,33375,31837,1538,15
Startpage,1740648819617,1740648831500,11883,6317,5566,15
Qwant,1740648831599,1740648838486,6887,6590,297,15
You.com,1740648838572,1740648846206,7634,4569,3065,15
DuckDuckGo,1740648846322,1740648853442,7120,4821,2299,15
Ecosia,1740648853546,1740648861672,8126,13661,0,15
Brave Search,1740648861770,1740648866919,5149,5167,0,15
Mojeek,1740648867034,1740648871982,4948,5413,0,15
OceanHero,1740648872075,1740648883648,11573,7250,4323,15
Swisscows,1740648883768,1740648891446,7678,4781,2897,15
Google,1740649008256,1740649042867,34611,31837,2774,16
Bing,1740649042961,1740649055400,12439,12613,0,16
Brave Search,1740649055534,1740649059926,4392,5167,0,16
DuckDuckGo,1740649060040,1740649071449,11409,4821,6588,16
Swisscows,1740649071552,1740649077148,5596,4781,815,16
You.com,1740649077285,1740649084918,7633,4569,3064,16
Startpage,1740649085024,1740649097886,12862,6317,6545,16
Qwant,1740649098282,1740649103982,5700,6590,0,16
Ecosia,1740649104069,1740649111007,6938,13661,0,16
OceanHero,1740649111107,1740649122108,11001,7250,3751,16
Mojeek,1740649122248,1740649127823,5575,5413,162,16
You.com,1740649187925,1740649195259,7334,4569,2765,17
Ecosia,1740649195354,1740649203315,7961,13661,0,17
DuckDuckGo,1740649203413,1740649209296,5883,4821,1062,17
Startpage,1740649209395,1740649222654,13259,6317,6942,17
Google,1740649222744,1740649257605,34861,31837,3024,17
Mojeek,1740649257703,1740649262340,4637,5413,0,17
Brave Search,1740649262437,1740649268019,5582,5167,415,17
Swisscows,1740649268142,1740649275182,7040,4781,2259,17
Qwant,1740649275285,1740649280778,5493,6590,0,17
Bing,1740649323665,1740649334590,10925,12613,0,17
OceanHero,1740649334722,1740649347091,12369,7250,5119,17
Google,1740649407200,1740649441923,34723,31837,2886,18
Mojeek,1740649442312,1740649447921,5609,5413,196,18
Bing,1740649448011,1740649459696,11685,12613,0,18
Swisscows,1740649459804,1740649466692,6888,4781,2107,18
Brave Search,1740649466796,1740649472695,5899,5167,732,18
Qwant,1740649472801,1740649479094,6293,6590,0,18
You.com,1740649479183,1740649486328,7145,4569,2576,18
DuckDuckGo,1740649486435,1740649493019,6584,4821,1763,18
Ecosia,1740649493124,1740649501423,8299,13661,0,18
OceanHero,1740649535723,1740649545883,10160,7250,2910,18
Startpage,1740649545997,1740649558091,12094,6317,5777,18
Ecosia,1740649618194,1740649626659,8465,13661,0,19
Qwant,1740649626767,1740649634443,7676,6590,1086,19
Bing,1740649634551,1740649645115,10564,12613,0,19
Mojeek,1740649645238,1740649650276,5038,5413,0,19
Brave Search,1740649650376,1740649656446,6070,5167,903,19
Google,1740649656569,1740649690741,34172,31837,2335,19
DuckDuckGo,1740649690842,1740649696362,5520,4821,699,19
Startpage,1740649696473,1740649710490,14017,6317,7700,19
OceanHero,1740649710589,1740649722213,11624,7250,4374,19
Swisscows,1740649750978,1740649757291,6313,4781,1532,19
You.com,1740649757700,1740649763824,6124,4569,1555,19
Mojeek,1740649823942,1740649830153,6211,5413,798,20
You.com,1740649830250,1740649836090,5840,4569,1271,20
Swisscows,1740649836270,1740649843679,7409,4781,2628,20
Brave Search,1740649843776,1740649849322,5546,5167,379,20
Google,1740649849427,1740649883630,34203,31837,2366,20
Startpage,1740649883729,1740649896580,12851,6317,6534,20
DuckDuckGo,1740649896669,1740649903082,6413,4821,1592,20
Ecosia,1740649903198,1740649910631,7433,13661,0,20
OceanHero,1740649938124,1740649949485,11361,7250,4111,20
Bing,1740649949607,1740649961709,12102,12613,0,20
Qwant,1740649961831,1740649971336,9505,6590,2915,20
You.com,1740650031429,1740650038890,7461,4569,2892,21
Mojeek,1740650038999,1740650044017,5018,5413,0,21
Startpage,1740650044114,1740650056870,12756,6317,6439,21
DuckDuckGo,1740650056968,1740650063497,6529,4821,1708,21
Qwant,1740650092423,1740650097803,5380,6590,0,21
Brave Search,1740650097911,1740650103441,5530,5167,363,21
Bing,1740650103542,1740650114662,11120,12613,0,21
Swisscows,1740650114784,1740650121389,6605,4781,1824,21
Google,1740650121482,1740650153826,32344,31837,507,21
OceanHero,1740650153956,1740650168510,14554,7250,7304,21
Ecosia,1740650168624,1740650177692,9068,13661,0,21
You.com,1740650237797,1740650245270,7473,4569,2904,22
Swisscows,1740650245373,1740650250938,5565,4781,784,22
Ecosia,1740650251031,1740650259137,8106,13661,0,22
DuckDuckGo,1740650259241,1740650266051,6810,4821,1989,22
Startpage,1740650266147,1740650279986,13839,6317,7522,22
Qwant,1740650280095,1740650286158,6063,6590,0,22
Brave Search,1740650286247,1740650292082,5835,5167,668,22
Google,1740650325958,1740650358227,32269,31837,432,22
OceanHero,1740650358332,1740650370728,12396,7250,5146,22
Mojeek,1740650371099,1740650377037,5938,5413,525,22
Bing,1740650377128,1740650389505,12377,12613,0,22
Startpage,1740650449635,1740650461696,12061,6317,5744,23
Ecosia,1740650461794,1740650469985,8191,13661,0,23
Qwant,1740650470081,1740650475106,5025,6590,0,23
DuckDuckGo,1740650475190,1740650481941,6751,4821,1930,23
Bing,1740650482046,1740650493771,11725,12613,0,23
You.com,1740650493886,1740650500112,6226,4569,1657,23
OceanHero,1740650500218,1740650512898,12680,7250,5430,23
Google,1740650513016,1740650548309,35293,31837,3456,23
Swisscows,1740650548407,1740650554655,6248,4781,1467,23
Brave Search,1740650582568,1740650589665,7097,5167,1930,23
Mojeek,1740650589778,1740650594415,4637,5413,0,23
You.com,1740650654510,1740650660900,6390,4569,1821,24
Brave Search,1740650661004,1740650667197,6193,5167,1026,24
Qwant,1740650667295,1740650674591,7296,6590,706,24
Ecosia,1740650674942,1740650682561,7619,13661,0,24
Google,1740650682666,1740650718007,35341,31837,3504,24
Swisscows,1740650718114,1740650724040,5926,4781,1145,24
Bing,1740650724132,1740650736882,12750,12613,137,24
DuckDuckGo,1740650769394,1740650775487,6093,4821,1272,24
OceanHero,1740650775581,1740650787309,11728,7250,4478,24
Mojeek,1740650787419,1740650792425,5006,5413,0,24
Startpage,1740650792524,1740650805699,13175,6317,6858,24
Qwant,1740650865818,1740650872653,6835,6590,245,25
OceanHero,1740650889735,1740651053677,163942,7250,156692,25
Brave Search,1740651085342,1740651091328,5986,5167,819,25
Mojeek,1740651091439,1740651097387,5948,5413,535,25
Startpage,1740651097477,1740651110597,13120,6317,6803,25
Swisscows,1740651110694,1740651117431,6737,4781,1956,25
Ecosia,1740651117532,1740651126346,8814,13661,0,25
You.com,1740651126443,1740651132534,6091,4569,1522,25
DuckDuckGo,1740651132628,1740651139464,6836,4821,2015,25
Bing,1740651139565,1740651150683,11118,12613,0,25
Startpage,1740651210806,1740651222372,11566,6317,5249,26
Brave Search,1740651222456,1740651228076,5620,5167,453,26
You.com,1740651228184,1740651235330,7146,4569,2577,26
Bing,1740651264367,1740651276536,12169,12613,0,26
Google,1740651276651,1740651309637,32986,31837,1149,26
DuckDuckGo,1740651309738,1740651316157,6419,4821,1598,26
Swisscows,1740651316268,1740651323242,6974,4781,2193,26
Mojeek,1740651323345,1740651329101,5756,5413,343,26
Qwant,1740651329188,1740651338101,8913,6590,2323,26
Ecosia,1740651338198,1740651346520,8322,13661,0,26
OceanHero,1740651346621,1740651357161,10540,7250,3290,26
Startpage,1740651417535,1740651432118,14583,6317,8266,27
You.com,1740651432203,1740651440046,7843,4569,3274,27
Qwant,1740651440149,1740651447899,7750,6590,1160,27
Google,1740651447986,1740651482449,34463,31837,2626,27
Brave Search,1740651482581,1740651488177,5596,5167,429,27
Mojeek,1740651518513,1740651523790,5277,5413,0,27
OceanHero,1740651523886,1740651533157,9271,7250,2021,27
Bing,1740651533276,1740651544579,11303,12613,0,27
DuckDuckGo,1740651544679,1740651551395,6716,4821,1895,27
Ecosia,1740651551509,1740651557978,6469,13661,0,27
Swisscows,1740651558089,1740651564695,6606,4781,1825,27
Swisscows,1740651624820,1740651631891,7071,4781,2290,28
Startpage,1740651631994,1740651645270,13276,6317,6959,28
Brave Search,1740651645358,1740651651371,6013,5167,846,28
Ecosia,1740651651471,1740651660759,9288,13661,0,28
You.com,1740651690582,1740651696811,6229,4569,1660,28
Bing,1740651696915,1740651707626,10711,12613,0,28
Google,1740651707750,1740651742475,34725,31837,2888,28
Qwant,1740651742585,1740651748958,6373,6590,0,28
OceanHero,1740651749067,1740651760383,11316,7250,4066,28
DuckDuckGo,1740651760499,1740651767150,6651,4821,1830,28
Mojeek,1740651767264,1740651773510,6246,5413,833,28
Qwant,1740651833630,1740651841809,8179,6590,1589,29
OceanHero,1740651841902,1740651854390,12488,7250,5238,29
You.com,1740651854504,1740651861666,7162,4569,2593,29
Startpage,1740651861781,1740651874792,13011,6317,6694,29
Bing,1740651911409,1740651923116,11707,12613,0,29
Google,1740651923227,1740651956555,33328,31837,1491,29
Brave Search,1740651956661,1740651962846,6185,5167,1018,29
DuckDuckGo,1740651963240,1740651970357,7117,4821,2296,29
